SEASON,Player,Position,Predicted 2021 Fantasy Points,TDS,YDS,PASS YDS,PASS TD,PASS INT,RUSH YDS,RUSH TD,REC,REC YDS,REC TD
2021,Devonta Freeman,RB,175.7179535,9,1263,0,0,0,866.6666667,6.666666667,49.66666667,396.3333333,2.333333333
2021,Adam Thielen,WR,173.8651932,9,1210,0,0,0,18.66666667,0,92.66666667,1191.333333,9
2021,Teddy Bridgewater,QB,173.3886803,15.33333333,2950,2782.666667,12.66666667,7.333333333,167.3333333,2.666666667,0,0,0
2021,Stefon Diggs,WR,170.3162859,7.666666667,1270,0,0,0,41.33333333,0,97.33333333,1228.666667,7.666666667
2021,A.J. Brown,WR,168.1367109,10,1093,0,0,0,30,0.5,61,1063,9.5
2021,Joe Mixon,RB,166.9152172,7,1267,0,0,0,977,5.666666667,36,290,1.333333333
2021,Marlon Mack,RB,166.4943817,9,1092,0,0,0,999.5,8.5,15.5,92.5,0.5
2021,Sam Darnold,QB,166.1386803,16.66666667,2838,2699,15,13,139,1.666666667,0,0,0
2021,Antonio Gibson,RB,166.0915897,11,1042,0,0,0,795,11,36,247,0
2021,Carlos Hyde,RB,162.9431846,7.666666667,1183.666667,0,0,0,998.6666667,6.666666667,32,185,1
2021,Tyler Lockett,WR,162.2515543,9.333333333,1046.666667,0,0,0,21.33333333,0,79.66666667,1025.333333,9.333333333
2021,Kenyan Drake,RB,161.7146776,9,1088.666667,0,0,0,769,7.333333333,42.66666667,319.6666667,1.666666667
2021,DK Metcalf,WR,160.4870603,8.5,1107,0,0,0,5.5,0,70.5,1101.5,8.5
2021,Odell Beckham Jr.,WR,159.8964928,7.333333333,1206,42,0.666666667,0,12.66666667,0,84,1151.333333,6.666666667
2021,Kenny Golladay,WR,159.0256651,8,1130.5,0,0,0,4,0,67.5,1126.5,8
2021,Robert Woods,WR,158.8013256,6,1238.666667,0,0,0,142.3333333,1.333333333,88.66666667,1096.333333,4.666666667
2021,Brandin Cooks,WR,157.3577679,6.333333333,1181.333333,0,0,0,36,0.333333333,75.33333333,1145.333333,6
2021,Julio Jones,WR,156.6824081,5.666666667,1283.666667,0,0,0,3,0,87.66666667,1280.666667,5.666666667
2021,James Conner,RB,155.8848274,8.666666667,1040.333333,0,0,0,719.3333333,7.333333333,41.33333333,321,1.333333333
2021,Miles Sanders,RB,155.766753,6,1195.5,0,0,0,842.5,4.5,39,353,1.5
2021,Chase Claypool,WR,155.3337229,11,889,0,0,0,16,2,62,873,9
2021,Calvin Ridley,WR,155.1148813,8.666666667,1041,0,0,0,20.66666667,0,72.33333333,1020.333333,8.666666667
2021,Keenan Allen,WR,154.6276434,6.666666667,1159,0,0,0,30,0,100.3333333,1129,6.666666667
2021,Raheem Mostert,RB,153.2422502,10,952,0,0,0,772,8,14,180,2
2021,George Kittle,TE,152.3916991,5,1231,0,0,0,16,0,86.5,1215,5
2021,Darren Waller,TE,152.3265264,6,1173,0,0,0,2.5,0,98.5,1170.5,6
2021,JuJu Smith-Schuster,WR,151.7968586,7.666666667,1062.333333,0,0,0,4.333333333,0,88.66666667,1058,7.666666667
2021,Taysom Hill,QB,151.7949303,13,1483,928,4,2,457,8,8,98,1
2021,Amari Cooper,WR,151.3375967,6.666666667,1115.666667,0,0,0,13.33333333,0,82,1102.333333,6.666666667
2021,J.K. Dobbins,RB,149.8730238,9,925,0,0,0,805,9,18,120,0
2021,Austin Ekeler,RB,149.4227932,6.666666667,1147,0,0,0,547,2.333333333,61.66666667,600,4.333333333
2021,Rob Gronkowski,TE,149.3812101,8.666666667,961,0,0,0,0,0,62,961,8.666666667
2021,Marvin Jones Jr.,WR,148.8252046,9,952.6666667,0,0,0,0,0,66.33333333,952.6666667,9
2021,Ronald Jones II,RB,148.4593084,7,1088,0,0,0,851,6.5,29.5,237,0.5
2021,Chris Godwin,WR,146.991884,7.666666667,1007.666667,0,0,0,2.666666667,0,70,1005,7.666666667
2021,David Johnson,RB,146.7614587,8,1035.333333,0,0,0,658.6666667,5,39.66666667,376.6666667,3
2021,Jordan Howard,RB,143.5754774,8.333333333,973.6666667,0,0,0,860.6666667,8,17.66666667,113,0.333333333
2021,Tua Tagovailoa,QB,142.0136803,14,1923,1814,11,5,109,3,0,0,0
2021,D'Andre Swift,RB,141.9122646,10,878,0,0,0,521,8,46,357,2
2021,James White,RB,140.6704185,7.666666667,945.3333333,11.66666667,0,0,284.6666667,2,73,649,5.666666667
2021,Julian Edelman,WR,140.6445396,5.333333333,1118,30,0.333333333,0,63.66666667,0,90.66666667,1024.333333,5
2021,CeeDee Lamb,WR,139.8562153,6,1017,0,0,0,82,1,74,935,5
2021,Adrian Peterson,RB,139.5402181,6.666666667,998.3333333,0,0,0,848,6.333333333,16.33333333,150.3333333,0.333333333
2021,Zach Ertz,TE,138.8456524,7.333333333,967.6666667,0,0,0,0,0,92.66666667,967.6666667,7.333333333
2021,Tevin Coleman,RB,138.5908134,8,909,0,0,0,657.3333333,5,26.66666667,251.6666667,3
2021,Clyde Edwards-Helaire,RB,137.6519449,5,1100,0,0,0,803,4,36,297,1
2021,Will Fuller V,WR,137.2243841,8,879,0,0,0,0,0,53,879,8
2021,Sony Michel,RB,136.7624967,6.5,993.5,0,0,0,921.5,6.5,9.5,72,0
2021,Allen Robinson II,WR,136.2486132,5.666666667,1053.666667,0,0,0,3.333333333,0,85,1050.333333,5.666666667
2021,Jarvis Landry,WR,135.7734459,5.333333333,1069,45.66666667,0.333333333,0,26.66666667,0.666666667,78.66666667,996.6666667,4.333333333
2021,Terry McLaurin,WR,133.2751558,5.5,1033.5,0,0,0,15,0,72.5,1018.5,5.5
2021,John Brown,WR,132.2072838,6.333333333,946.3333333,9.333333333,0.333333333,0,11,0,59.66666667,926,6
2021,D.J. Moore,WR,131.3850367,3.333333333,1130,0,0,0,78,0,69.33333333,1052,3.333333333
2021,Tee Higgins,WR,131.1764372,6,936,0,0,0,28,0,67,908,6
2021,Michael Gallup,WR,131.0979584,5.5,975,0,0,0,0,0,62.5,975,5.5
2021,Deebo Samuel,WR,131.0513418,6,961,0,0,0,159,3,57,802,3
2021,Tyler Boyd,WR,130.3891685,5.333333333,1002,5.333333333,0,0,25,0,81.66666667,971.6666667,5.333333333
2021,T.Y. Hilton,WR,130.0972269,5,999.3333333,0,0,0,0,0,63,999.3333333,5
2021,Nick Mullens,QB,129.9511803,12.5,2353,2357,12.5,11,-4,0,0,0,0
2021,Jeff Wilson Jr.,RB,129.0067194,10,733,0,0,0,600,7,13,133,3
2021,Robert Tonyan,TE,128.7502697,11,586,0,0,0,0,0,52,586,11
2021,Cooper Kupp,WR,128.2972334,6.333333333,921,0,0,0,20.66666667,0,75.33333333,900.3333333,6.333333333
2021,Nelson Agholor,WR,126.7933433,7,818,5,0,0,13,0.333333333,58,800,6.666666667
2021,Larry Fitzgerald,WR,126.6982506,5.666666667,915.6666667,17.66666667,0.333333333,0,0,0,84.33333333,898,5.333333333
2021,Courtland Sutton,WR,125.8295982,5,935,19,0,0,8,0,57,908,5
2021,Mike Davis,RB,124.7893455,6.5,871.5,0,0,0,578,5,46.5,293.5,1.5
2021,Mark Andrews,TE,124.7166336,8.5,776.5,0,0,0,0,0,61,776.5,8.5
2021,Jared Cook,TE,124.6385277,7.5,800.5,0,0,0,0,0,55.5,800.5,7.5
2021,LeSean McCoy,RB,124.2871125,5.333333333,994.6666667,0,0,0,705.6666667,4.333333333,40.33333333,289,1
2021,Myles Gaskin,RB,123.9424031,5,972,0,0,0,584,3,41,388,2
2021,DeVante Parker,WR,123.6160114,5.666666667,913,0,0,0,0,0,63.66666667,913,5.666666667
2021,Gus Edwards,RB,123.1628349,6,852,0,0,0,723,6,9,129,0
2021,Leonard Fournette,RB,122.8798459,5,966,0,0,0,652.6666667,4.666666667,44.66666667,313.3333333,0.333333333
2021,Corey Davis,WR,121.9749463,4.5,965,0,0,0,27.5,0,65,937.5,4.5
2021,Giovani Bernard,RB,121.4529183,4,940,0,0,0,534.6666667,2.333333333,46.33333333,405.3333333,1.666666667
2021,DJ Chark Jr.,WR,121.4242275,6.5,867,0,0,0,10,0,63,857,6.5
2021,Peyton Barber,RB,119.9838789,6.5,774,0,0,0,670.5,5.5,18,103.5,1
2021,Cole Beasley,WR,119.7710045,5.333333333,868.3333333,6.666666667,0.333333333,0,2.333333333,0,74.66666667,859.3333333,5
2021,Chase Edmonds,RB,119.3953326,5,850,0,0,0,448,1,53,402,4
2021,Brandon Aiyuk,WR,119.0095623,7,825,0,0,0,77,2,60,748,5
2021,Mike Williams,WR,118.9267013,6,817.3333333,0,0,0,10.33333333,0.333333333,46.66666667,807,5.666666667
2021,Duke Johnson,RB,118.7222619,4.333333333,911,0,0,0,372,2.333333333,57,539,2
2021,Latavius Murray,RB,118.2629817,5.666666667,807.6666667,0,0,0,623.6666667,5,26.33333333,184,0.666666667
2021,Nyheim Hines,RB,117.6673973,5.5,800.5,0,0,0,347,2.5,63,453.5,3
2021,Diontae Johnson,WR,117.4995048,6,829.5,0,0,0,28,0,73.5,801.5,6
2021,Emmanuel Sanders,WR,117.4262779,5.666666667,863.6666667,21,0.666666667,0,21.66666667,0.333333333,66,821,4.666666667
2021,Robby Anderson,WR,116.0483916,4.666666667,879.3333333,0,0,0,3.666666667,0,65.66666667,875.6666667,4.666666667
2021,J.D. McKissic,RB,115.806711,3,954,0,0,0,365,1,80,589,2
2021,Wayne Gallman,RB,115.4557302,6,796,0,0,0,682,6,21,114,0
2021,Jimmy Graham,TE,114.8699367,8,633,0,0,0,0,0,57.33333333,633,8
2021,Curtis Samuel,WR,114.7439707,6.333333333,795.3333333,0,0,0,138,1.666666667,56.66666667,657.3333333,4.666666667
2021,Darrell Henderson Jr.,RB,113.9811623,6,783,0,0,0,624,5,16,159,1
2021,Chris Conley,WR,113.1823147,5,775,0,0,0,0,0,47,775,5
2021,T.J. Hockenson,TE,113.0886629,6,723,0,0,0,0,0,67,723,6
2021,Russell Gage,WR,112.8994224,5,834,39,1,0,9,0,72,786,4
2021,Marquise Brown,WR,111.9972189,7.5,677,0,0,0,0.5,0,52,676.5,7.5
2021,Golden Tate,WR,111.8982075,5,848.6666667,0,0,0,24,0,71.66666667,824.6666667,5
2021,Devin Singletary,RB,111.5165224,3,962.5,0,0,0,731,2,33.5,231.5,1
2021,Jerick McKinnon,RB,110.9831078,5,785.6666667,0,0,0,476,3.333333333,42.33333333,309.6666667,1.666666667
2021,Jerry Jeudy,WR,109.9831264,3,856,0,0,0,0,0,52,856,3
2021,Austin Hooper,TE,109.8614729,6,787,0,0,0,0,0,75,787,6
2021,Marquez Valdes-Scantling,WR,109.1653707,6,703,0,0,0,13,0,33,690,6
2021,Sterling Shepard,WR,109.0742357,5.333333333,774.6666667,0,0,0,37.66666667,0.333333333,65.66666667,737,5
2021,Tim Patrick,WR,108.9582918,6,742,0,0,0,0,0,51,742,6
2021,Logan Thomas,TE,108.4863365,6,703,28,0,0,5,0,72,670,6
2021,Jalen Hurts,QB,108.2011803,9,1421,1061,6,4,357,3,1,3,0
2021,Randall Cobb,WR,108.0578697,4.666666667,799.3333333,3.333333333,0,0,26,0.333333333,66.66666667,770,4.333333333
2021,Nick Foles,QB,107.6386803,10.66666667,2052,2022.333333,10,9.333333333,29.66666667,0.666666667,0,0,0
2021,Gabriel Davis,WR,107.5913332,7,599,0,0,0,0,0,35,599,7
2021,Darius Slayton,WR,107.3009079,5.5,745,0,0,0,-0.5,0,49,745.5,5.5
2021,Jamison Crowder,WR,107.056649,5.333333333,805.3333333,14.33333333,0.333333333,0,17.33333333,0,67.66666667,773.6666667,5
2021,Mike Gesicki,TE,105.8884857,6,703,0,0,0,0,0,53,703,6
2021,Jamaal Williams,RB,105.7895582,5,757.3333333,0,0,0,507,2.333333333,31.66666667,250.3333333,2.666666667
2021,Royce Freeman,RB,104.4406598,4,752,0,0,0,496,3,43,256,1
2021,Mason Rudolph,QB,103.5761803,13,1807,1765,13,9,42,0,0,0,0
2021,Damien Williams,RB,103.2054642,7,711,0,0,0,498,5,30,213,2
2021,Dede Westbrook,WR,100.1717298,4,751,0,0,0,62.5,0,66,688.5,4
2021,Zach Pascal,WR,99.1297262,5,626,0,0,0,8,0,42.5,618,5
2021,Tyrell Williams,WR,98.98645476,5,682.3333333,0,0,0,5,0,42,677.3333333,5
2021,Jonnu Smith,TE,98.70104578,9,452,0,0,0,4,1,41,448,8
2021,Tony Pollard,RB,98.65824726,5,627,0,0,0,435,4,28,192,1
2021,Hayden Hurst,TE,98.19867113,6,571,0,0,0,0,0,56,571,6
2021,Keelan Cole Sr.,WR,98.1588023,4,696,0,0,0,1,0,48.5,695,4
2021,Breshad Perriman,WR,97.11269072,6,661,0,0,0,16,0,36,645,6
2021,Darnell Mooney,WR,96.35762528,4,651,0,0,0,20,0,61,631,4
2021,Laviska Shenault Jr.,WR,93.89187268,5,691,0,0,0,91,0,58,600,5
2021,Christian Kirk,WR,91.41275862,4.5,713,0,0,0,48,0,58,665,4.5
2021,Tyler Higbee,TE,90.3865774,3,734,0,0,0,0,0,69,734,3
2021,Hunter Henry,TE,88.08524874,6.5,565,0,0,0,0,0,45.5,565,6.5
